LLaVA-NeXT LAYER SHIFT STATISTICS
================================================================================
pretrained: liuhaotian/llava-v1.6-vicuna-7b
dataset: docvqa
docvqa_root: /data/model/datasets--lmms-lab--DocVQA
docvqa_subset: DocVQA
docvqa_split: validation
num_samples: 500
max_decode_tokens: 64
successful: 500 / 500

USAGE:
  decode_mean = prefill_mean + mean_shift
  decode_std  = prefill_std  * std_ratio

Layer  | Mean Shift   | Std Ratio    | Samples 
------------------------------------------------------------
0      |     0.002474 |     0.056690 | 500     
1      |     0.002279 |     0.030941 | 500     
2      |     0.001904 |     0.042735 | 500     
3      |     0.001836 |     0.057498 | 500     
4      |     0.001929 |     0.073871 | 500     
5      |     0.001493 |     0.088895 | 500     
6      |     0.001433 |     0.106469 | 500     
7      |     0.002081 |     0.123353 | 500     
8      |     0.002365 |     0.143311 | 500     
9      |     0.003238 |     0.161460 | 500     
10     |     0.003141 |     0.181409 | 500     
11     |     0.003290 |     0.202387 | 500     
12     |     0.002676 |     0.221374 | 500     
13     |     0.001376 |     0.253353 | 500     
14     |     0.000732 |     0.280585 | 500     
15     |     0.000097 |     0.319111 | 500     
16     |    -0.000599 |     0.376056 | 500     
17     |    -0.000276 |     0.420746 | 500     
18     |    -0.000324 |     0.476069 | 500     
19     |    -0.002466 |     0.525968 | 500     
20     |    -0.002066 |     0.585786 | 500     
21     |    -0.003292 |     0.637074 | 500     
22     |    -0.001914 |     0.694038 | 500     
23     |    -0.002229 |     0.731112 | 500     
24     |    -0.001698 |     0.780622 | 500     
25     |    -0.001418 |     0.809777 | 500     
26     |     0.000042 |     0.862737 | 500     
27     |    -0.000875 |     0.898411 | 500     
28     |    -0.000062 |     0.938094 | 500     
29     |    -0.000475 |     0.980994 | 500     
30     |     0.001280 |     1.296258 | 500     
31     |    -0.003714 |     1.154571 | 500     
