LLaVA-NeXT LAYER SHIFT STATISTICS
================================================================================
pretrained: liuhaotian/llava-v1.6-vicuna-7b
data_json: /data/dataset/synthdog-en/synthdog-en.json
num_samples: 500
max_decode_tokens: 32
successful: 500 / 500

USAGE:
  decode_mean = prefill_mean + mean_shift
  decode_std  = prefill_std  * std_ratio

Layer  | Mean Shift   | Std Ratio    | Samples 
------------------------------------------------------------
0      |     0.004342 |     0.062497 | 500     
1      |     0.004121 |     0.031384 | 500     
2      |     0.003587 |     0.043565 | 500     
3      |     0.003120 |     0.059151 | 500     
4      |     0.002883 |     0.076636 | 500     
5      |     0.002571 |     0.094554 | 500     
6      |     0.002873 |     0.112171 | 500     
7      |     0.003436 |     0.129595 | 500     
8      |     0.003835 |     0.149490 | 500     
9      |     0.005000 |     0.167821 | 500     
10     |     0.005014 |     0.188243 | 500     
11     |     0.005196 |     0.207610 | 500     
12     |     0.004312 |     0.227618 | 500     
13     |     0.003826 |     0.261124 | 500     
14     |     0.004103 |     0.282735 | 500     
15     |     0.003079 |     0.325174 | 500     
16     |     0.001586 |     0.386240 | 500     
17     |     0.003569 |     0.432769 | 500     
18     |     0.004500 |     0.494345 | 500     
19     |     0.004380 |     0.556255 | 500     
20     |     0.004690 |     0.628103 | 500     
21     |     0.003028 |     0.685902 | 500     
22     |     0.004136 |     0.759392 | 500     
23     |     0.003406 |     0.804181 | 500     
24     |     0.004549 |     0.862522 | 500     
25     |     0.004538 |     0.893253 | 500     
26     |     0.006587 |     0.955782 | 500     
27     |     0.007445 |     0.995098 | 500     
28     |     0.008758 |     1.041404 | 500     
29     |     0.009469 |     1.094139 | 500     
30     |     0.012036 |     1.508672 | 500     
31     |     0.002620 |     1.104244 | 500     
