LLaVA-NeXT LAYER SHIFT STATISTICS
================================================================================
pretrained: liuhaotian/llava-v1.6-vicuna-7b
dataset: ocrbench
docvqa_root: /data/model/datasets--lmms-lab--DocVQA
docvqa_subset: DocVQA
docvqa_split: validation
num_samples: 500
max_decode_tokens: 64
successful: 500 / 500

USAGE:
  decode_mean = prefill_mean + mean_shift
  decode_std  = prefill_std  * std_ratio

Layer  | Mean Shift   | Std Ratio    | Samples 
------------------------------------------------------------
0      |     0.003842 |     0.049516 | 500     
1      |     0.003657 |     0.026144 | 500     
2      |     0.003247 |     0.036567 | 500     
3      |     0.003067 |     0.049887 | 500     
4      |     0.002973 |     0.064315 | 500     
5      |     0.002421 |     0.078012 | 500     
6      |     0.003137 |     0.093295 | 500     
7      |     0.003620 |     0.107994 | 500     
8      |     0.004338 |     0.124164 | 500     
9      |     0.004820 |     0.142828 | 500     
10     |     0.004325 |     0.160574 | 500     
11     |     0.004622 |     0.178998 | 500     
12     |     0.002769 |     0.194674 | 500     
13     |     0.001021 |     0.220895 | 500     
14     |     0.001883 |     0.245105 | 500     
15     |     0.001463 |     0.281263 | 500     
16     |     0.000712 |     0.333408 | 500     
17     |     0.001641 |     0.376614 | 500     
18     |     0.002869 |     0.430006 | 500     
19     |     0.001335 |     0.479074 | 500     
20     |     0.002635 |     0.545007 | 500     
21     |     0.000912 |     0.598006 | 500     
22     |     0.001644 |     0.662413 | 500     
23     |     0.001030 |     0.703378 | 500     
24     |     0.002079 |     0.757523 | 500     
25     |     0.002192 |     0.790760 | 500     
26     |     0.004435 |     0.849343 | 500     
27     |     0.004566 |     0.890643 | 500     
28     |     0.006000 |     0.938448 | 500     
29     |     0.007000 |     0.991383 | 500     
30     |     0.007781 |     1.398902 | 500     
31     |     0.001468 |     1.131004 | 500     
