QWEN2-VL LAYER STATISTICS TABLE
================================================================================

Dataset: docvqa
Parquet dir: /data/model/datasets--lmms-lab--DocVQA/DocVQA
Split: validation
Successful samples: 500/500
Max decode tokens: 64

USAGE:
  decode_mean = prefill_mean + mean_shift
  decode_std  = prefill_std  * std_ratio

TABLE:
------------------------------------------------------------------------------------------------------------------------
Layer  | Mean Shift   | Std Ratio    | Prefill Mean | Prefill Std  | Decode Mean  | Decode Std   | Samples 
------------------------------------------------------------------------------------------------------------------------
0      |    -0.002593 |     1.534957 |     0.001792 |     0.165477 |    -0.000800 |     0.253999 | 500     
1      |    -0.010659 |     2.927839 |    -0.004526 |     0.260148 |    -0.015185 |     0.761673 | 500     
2      |    -0.006927 |     2.797363 |    -0.003051 |     0.258553 |    -0.009978 |     0.723266 | 500     
3      |    -0.691419 |    37.926050 |    -0.006184 |     1.633438 |    -0.697604 |    61.949832 | 500     
4      |    -0.827234 |    37.141097 |    -0.009068 |     1.871797 |    -0.836302 |    69.520589 | 500     
5      |    -0.850516 |    33.313939 |    -0.017605 |     2.129250 |    -0.868121 |    70.933704 | 500     
6      |    -0.878764 |    30.639367 |    -0.026124 |     2.361031 |    -0.904887 |    72.340503 | 500     
7      |    -0.902973 |    29.173877 |    -0.031266 |     2.508156 |    -0.934239 |    73.172643 | 500     
8      |    -0.910496 |    28.324603 |    -0.033610 |     2.602906 |    -0.944106 |    73.726287 | 500     
9      |    -0.943362 |    27.892990 |    -0.030663 |     2.680531 |    -0.974025 |    74.768031 | 500     
10     |    -0.953260 |    27.826919 |    -0.029906 |     2.705875 |    -0.983166 |    75.296166 | 500     
11     |    -0.977094 |    25.666360 |    -0.036006 |     2.955312 |    -1.013100 |    75.852116 | 500     
12     |    -1.001004 |    24.064546 |    -0.041302 |     3.197625 |    -1.042306 |    76.949394 | 500     
13     |    -1.011783 |    23.290756 |    -0.042643 |     3.327562 |    -1.054426 |    77.501446 | 500     
14     |    -1.014146 |    23.284255 |    -0.039435 |     3.328656 |    -1.053580 |    77.505281 | 500     
15     |    -1.021435 |    23.142417 |    -0.038740 |     3.372156 |    -1.060175 |    78.039846 | 500     
16     |    -1.020651 |    23.149334 |    -0.039033 |     3.370844 |    -1.059684 |    78.032788 | 500     
17     |    -1.022210 |    23.222808 |    -0.038807 |     3.360406 |    -1.061017 |    78.038071 | 500     
18     |    -1.015651 |    23.213963 |    -0.036556 |     3.362781 |    -1.052207 |    78.063479 | 500     
19     |    -1.017322 |    23.601236 |    -0.032211 |     3.309656 |    -1.049533 |    78.111978 | 500     
20     |    -1.025424 |    27.915606 |    -0.016675 |     2.780156 |    -1.042099 |    77.609747 | 500     
21     |    -1.021267 |    27.207655 |    -0.013964 |     2.857687 |    -1.035230 |    77.750976 | 500     
22     |    -1.000802 |    25.882698 |    -0.025839 |     3.010937 |    -1.026641 |    77.931186 | 500     
23     |    -0.983529 |    24.068593 |    -0.013401 |     3.222594 |    -0.996930 |    77.563298 | 500     
24     |    -0.939918 |    21.622175 |    -0.033250 |     3.550344 |    -0.973168 |    76.766153 | 500     
25     |    -0.898450 |    18.600152 |    -0.027437 |     4.081875 |    -0.925886 |    75.923497 | 500     
26     |    -0.495425 |     8.435132 |    -0.032014 |     4.300375 |    -0.527438 |    36.274229 | 500     
27     |    -0.062246 |     0.769937 |     0.051457 |     4.562250 |    -0.010789 |     3.512646 | 500     
================================================================================
