QWEN2-VL LAYER STATISTICS TABLE
================================================================================

Dataset: docvqa
Parquet dir: /data/model/datasets--lmms-lab--DocVQA/DocVQA
Split: validation
Successful samples: 1000/1000
Max decode tokens: 64

USAGE:
  decode_mean = prefill_mean + mean_shift
  decode_std  = prefill_std  * std_ratio

TABLE:
------------------------------------------------------------------------------------------------------------------------
Layer  | Mean Shift   | Std Ratio    | Prefill Mean | Prefill Std  | Decode Mean  | Decode Std   | Samples 
------------------------------------------------------------------------------------------------------------------------
0      |    -0.002594 |     1.538319 |     0.001793 |     0.165478 |    -0.000801 |     0.254557 | 1000    
1      |    -0.010517 |     2.911224 |    -0.004525 |     0.260217 |    -0.015042 |     0.757549 | 1000    
2      |    -0.006803 |     2.783492 |    -0.003052 |     0.258881 |    -0.009855 |     0.720593 | 1000    
3      |    -0.683397 |    37.462827 |    -0.006178 |     1.634375 |    -0.689576 |    61.228308 | 1000    
4      |    -0.817957 |    36.693957 |    -0.009068 |     1.872727 |    -0.827025 |    68.717749 | 1000    
5      |    -0.840762 |    32.948646 |    -0.017561 |     2.127711 |    -0.858322 |    70.105195 | 1000    
6      |    -0.868570 |    30.307878 |    -0.026070 |     2.358859 |    -0.894640 |    71.492023 | 1000    
7      |    -0.892525 |    28.866516 |    -0.031183 |     2.505063 |    -0.923707 |    72.312426 | 1000    
8      |    -0.899788 |    28.024335 |    -0.033529 |     2.599813 |    -0.933317 |    72.858018 | 1000    
9      |    -0.932085 |    27.609951 |    -0.030525 |     2.675891 |    -0.962610 |    73.881210 | 1000    
10     |    -0.941724 |    27.549243 |    -0.029746 |     2.700672 |    -0.971470 |    74.401466 | 1000    
11     |    -0.965091 |    25.415800 |    -0.035825 |     2.948812 |    -1.000916 |    74.946430 | 1000    
12     |    -0.988531 |    23.830984 |    -0.041121 |     3.190250 |    -1.029652 |    76.026797 | 1000    
13     |    -0.999109 |    23.067801 |    -0.042438 |     3.319375 |    -1.041547 |    76.570683 | 1000    
14     |    -1.001307 |    23.062748 |    -0.039215 |     3.320250 |    -1.040521 |    76.574089 | 1000    
15     |    -1.008414 |    22.922948 |    -0.038524 |     3.363484 |    -1.046938 |    77.100978 | 1000    
16     |    -1.007643 |    22.932449 |    -0.038804 |     3.361781 |    -1.046447 |    77.093877 | 1000    
17     |    -1.009231 |    23.004451 |    -0.038584 |     3.351500 |    -1.047815 |    77.099417 | 1000    
18     |    -1.002621 |    22.993859 |    -0.036324 |     3.354188 |    -1.038945 |    77.125716 | 1000    
19     |    -1.004281 |    23.379779 |    -0.031957 |     3.300969 |    -1.036238 |    77.175920 | 1000    
20     |    -1.012818 |    27.634040 |    -0.016477 |     2.775141 |    -1.029295 |    76.688348 | 1000    
21     |    -1.008512 |    26.926466 |    -0.013770 |     2.853453 |    -1.022282 |    76.833409 | 1000    
22     |    -0.987927 |    25.609269 |    -0.025701 |     3.007469 |    -1.013628 |    77.019076 | 1000    
23     |    -0.970674 |    23.801834 |    -0.013359 |     3.220906 |    -0.984033 |    76.663477 | 1000    
24     |    -0.927031 |    21.375019 |    -0.033247 |     3.550328 |    -0.960279 |    75.888330 | 1000    
25     |    -0.886015 |    18.382012 |    -0.027484 |     4.083578 |    -0.913499 |    75.064380 | 1000    
26     |    -0.486550 |     8.345548 |    -0.032100 |     4.303750 |    -0.518650 |    35.917153 | 1000    
27     |    -0.062677 |     0.773280 |     0.051885 |     4.560500 |    -0.010792 |     3.526544 | 1000    
================================================================================
