QWEN2-VL LAYER STATISTICS TABLE
================================================================================

Dataset: ocrbench
OCRBench root: /data/model/datasets--echo840--OCRBench
OCRBench split: test
Successful samples: 500/500
Max decode tokens: 64

USAGE:
  decode_mean = prefill_mean + mean_shift
  decode_std  = prefill_std  * std_ratio

TABLE:
------------------------------------------------------------------------------------------------------------------------
Layer  | Mean Shift   | Std Ratio    | Prefill Mean | Prefill Std  | Decode Mean  | Decode Std   | Samples 
------------------------------------------------------------------------------------------------------------------------
0      |     0.000103 |     1.398186 |    -0.000810 |     0.171801 |    -0.000706 |     0.240210 | 500     
1      |    -0.019234 |     3.320620 |    -0.003804 |     0.310826 |    -0.023038 |     1.032135 | 500     
2      |    -0.013765 |     2.575649 |    -0.002342 |     0.354527 |    -0.016106 |     0.913138 | 500     
3      |    -1.188789 |     9.876804 |    -0.017157 |    10.899719 |    -1.205946 |   107.654384 | 500     
4      |    -1.408210 |     9.790790 |    -0.020843 |    12.303641 |    -1.429053 |   120.462365 | 500     
5      |    -1.459858 |     9.742545 |    -0.023299 |    12.617906 |    -1.483157 |   122.930518 | 500     
6      |    -1.516855 |     9.758849 |    -0.027863 |    12.848000 |    -1.544718 |   125.381694 | 500     
7      |    -1.560724 |     9.753760 |    -0.030088 |    13.004687 |    -1.590813 |   126.844601 | 500     
8      |    -1.584440 |     9.766053 |    -0.029411 |    13.089063 |    -1.613851 |   127.828472 | 500     
9      |    -1.646804 |     9.735034 |    -0.028522 |    13.335562 |    -1.675326 |   129.822149 | 500     
10     |    -1.668981 |     9.757457 |    -0.029439 |    13.403250 |    -1.698420 |   130.781642 | 500     
11     |    -1.720963 |     9.684106 |    -0.031361 |    13.610125 |    -1.752325 |   131.801894 | 500     
12     |    -1.771734 |     9.686921 |    -0.034163 |    13.808406 |    -1.805897 |   133.760943 | 500     
13     |    -1.797692 |     9.707299 |    -0.031311 |    13.879594 |    -1.829003 |   134.733364 | 500     
14     |    -1.805717 |     9.685420 |    -0.031015 |    13.912469 |    -1.836732 |   134.748103 | 500     
15     |    -1.821350 |     9.700875 |    -0.030734 |    13.990438 |    -1.852084 |   135.719490 | 500     
16     |    -1.821809 |     9.700092 |    -0.030408 |    13.991625 |    -1.852217 |   135.720051 | 500     
17     |    -1.819454 |     9.698321 |    -0.032717 |    13.994312 |    -1.852171 |   135.721341 | 500     
18     |    -1.814173 |     9.692819 |    -0.030465 |    14.002344 |    -1.844638 |   135.722181 | 500     
19     |    -1.813729 |     9.684639 |    -0.030759 |    14.014437 |    -1.844487 |   135.724772 | 500     
20     |    -1.792070 |     9.657268 |    -0.029281 |    13.954000 |    -1.821351 |   134.757514 | 500     
21     |    -1.793398 |     9.631873 |    -0.027634 |    13.991344 |    -1.821032 |   134.762845 | 500     
22     |    -1.779968 |     9.607906 |    -0.033456 |    14.025625 |    -1.813424 |   134.756886 | 500     
23     |    -1.749426 |     9.539536 |    -0.025498 |    14.023750 |    -1.774924 |   133.780065 | 500     
24     |    -1.695128 |     9.396371 |    -0.049199 |    14.031531 |    -1.744327 |   131.845468 | 500     
25     |    -1.625441 |     9.281540 |    -0.033998 |    13.991812 |    -1.659439 |   129.865568 | 500     
26     |    -0.980815 |     7.130097 |    -0.033451 |     8.286250 |    -1.014265 |    59.081763 | 500     
27     |    -0.029377 |     0.602739 |     0.026082 |     4.319625 |    -0.003295 |     2.603607 | 500     
================================================================================
